Id_Estado,Nombre_Estado,Total_Poblacion,Categoria_Densidad
26,Missouri,6168187,Mediana
27,Montana,1104271,Baja
28,Nebraska,1963692,Baja
29,Nevada,3143991,Mediana
30,New Hampshire,1388992,Baja
31,New Jersey,9267130,Alta
32,New Mexico,2115877,Baja
33,New York,19835913,Alta
34,North Carolina,10551162,Alta
35,North Dakota,774948,Baja
36,Ohio,11780017,Alta
37,Oklahoma,3986639,Mediana
38,Oregon,4246155,Mediana
39,Pennsylvania,12964056,Alta
40,Rhode Island,1095610,Baja
41,South Carolina,5190705,Mediana
42,South Dakota,895376,Baja
43,Tennessee,6975218,Alta
44,Texas,29527941,Alta
45,Utah,3337975,Mediana
46,Vermont,645570,Baja
47,Virginia,8642274,Alta
48,Washington,7738692,Alta
49,West Virginia,1782959,Baja
50,Wisconsin,5895908,Mediana
51,Wyoming,578803,Baja
