Estado,Total population,Total populationMale,Total populationFemale,Total populationSex ratio (males per 100 females),Total populationMedian age (years),Total populationUnder 18 years,Total population16 years and over,Total population18 years and over,Total population21 years and over
Alabama,5039877,2445896,2593981,94.3,39.8,1119942,4046627,3919935,3699142
Alaska,732673,383121,349552,109.6,35.6,179401,571832,553272,521655
Arizona,7276316,3629620,3646696,99.5,38.6,1614284,5852913,5662032,5372612
Arkansas,3025891,1493681,1532210,97.5,38.5,703793,2405035,2322098,2194015
California,39237836,19618934,19618902,100.0,37.6,8769779,31507237,30468057,28918596
Colorado,5812069,2943037,2869032,102.6,37.6,1241947,4720626,4570122,4346563
Connecticut,3605597,1768045,1837552,96.2,41.1,727239,2971314,2878358,2721498
Delaware,1003384,485908,517476,93.9,41.6,208517,819868,794867,754148
District of Columbia,670050,319025,351025,90.9,34.8,125729,553437,544321,515012
Florida,21781128,10714520,11066608,96.8,42.8,4287823,18010659,17493305,16753101
Georgia,10799566,5270144,5529422,95.3,37.5,2522124,8575918,8277442,7812956
Hawaii,1441553,725604,715949,101.3,40.2,304201,1166220,1137352,1091307
Idaho,1900923,954313,946610,100.8,37.3,469986,1484932,1430937,1354704
Illinois,12671469,6264364,6407105,97.8,39.0,2800177,10203044,9871292,9374318
Indiana,6805985,3374931,3431054,98.4,38.2,1585398,5401077,5220587,4933998
Iowa,3193079,1603267,1589812,100.8,38.5,736984,2543525,2456095,2309493
Kansas,2934582,1474610,1459972,101.0,37.3,702206,2315379,2232376,2104009
Kentucky,4509394,2229328,2280066,97.8,39.1,1015455,3612858,3493939,3307289
Louisiana,4624047,2260866,2363181,95.7,38.0,1082043,3663069,3542004,3354571
Maine,1372247,673483,698764,96.4,44.7,249675,1155699,1122572,1073239
Maryland,6165129,3003091,3162038,95.0,39.3,1360097,4964751,4805032,4579503
Massachusetts,6984723,3408252,3576471,95.3,39.9,1361940,5790261,5622783,5308211
Michigan,10050811,4976869,5073942,98.1,40.2,2151937,8156411,7898874,7491294
Minnesota,5707390,2860668,2846722,100.5,38.8,1308981,4554126,4398409,4179313
Mississippi,2949965,1435423,1514542,94.8,38.6,691885,2340485,2258080,2126566
Missouri,6168187,3045181,3123006,97.5,39.2,1383537,4949628,4784650,4536481
Montana,1104271,560911,543360,103.2,40.1,234847,895986,869424,827777
Nebraska,1963692,986019,977673,100.9,37.2,482202,1534896,1481490,1401882
Nevada,3143991,1585207,1558784,101.7,38.7,697619,2526328,2446372,2339377
New Hampshire,1388992,693234,695758,99.6,43.1,256254,1164253,1132738,1075694
New Jersey,9267130,4563560,4703570,97.0,40.3,2020876,7489289,7246254,6920044
New Mexico,2115877,1052355,1063522,98.9,39.1,471808,1700082,1644069,1558126
New York,19835913,9696573,10139340,95.6,39.8,4103566,16210453,15732347,14973928
North Carolina,10551162,5149323,5401839,95.3,39.4,2299746,8524268,8251416,7802457
North Dakota,774948,399544,375404,106.4,35.8,182589,610714,592359,555602
Ohio,11780017,5808575,5971442,97.3,39.6,2603410,9480334,9176607,8700622
Oklahoma,3986639,1984707,2001932,99.1,37.2,957938,3140799,3028701,2854120
Oregon,4246155,2121532,2124623,99.9,40.1,858666,3487919,3387489,3233564
Pennsylvania,12964056,6399632,6564424,97.5,40.9,2674227,10602171,10289829,9775539
Rhode Island,1095610,536589,559021,96.0,40.6,208321,913136,887289,832043
South Carolina,5190705,2521689,2669016,94.5,40.2,1115996,4207365,4074709,3852732
South Dakota,895376,451950,443426,101.9,37.6,220621,699893,674755,637381
Tennessee,6975218,3413181,3562037,95.8,39.2,1537615,5616708,5437603,5158274
Texas,29527941,14739011,14788930,99.7,35.5,7456547,22934023,22071394,20833448
Utah,3337975,1694770,1643205,103.1,31.8,945457,2507029,2392518,2234764
Vermont,645570,320293,325277,98.5,42.9,116767,542827,528803,497878
Virginia,8642274,4273931,4368343,97.8,38.8,1881818,6980718,6760456,6397867
Washington,7738692,3897320,3841372,101.5,38.2,1675782,6250868,6062910,5786705
West Virginia,1782959,887360,895599,99.1,42.8,361392,1465755,1421567,1352112
Wisconsin,5895908,2955249,2940659,100.5,40.1,1274605,4773326,4621303,4382920
Wyoming,578803,296007,282796,104.7,39.0,131529,461622,447274,425155
Puerto Rico,3263584,1543991,1719593,89.8,44.1,545788,2794959,2717796,2574430
