Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
1,Subway,190000.0,522000.0,1967,20576
2,McDonald's,521000.0,2500000.0,1955,13455
3,Dunkin',121000.0,1810000.0,1954,8118
4,Taco Bell Traditional,576000.0,3370000.0,1962,7513
5,Burger King,232000.0,4520000.0,1954,7043
6,Dominos,107000.0,683000.0,1960,6744
7,Bimbo Bakeries,14000.0,606000.0,1996,6027
8,Wendys,321000.0,4620000.0,1969,5994
9,Pizza Hut Traditional,367000.0,2060000.0,1958,5324
10,Advanced Fresh Concepts,41000.0,239000.0,1986,4275
11,Little Caesar,393000.0,1720000.0,1959,4173
12,KFC Traditional,1050000.0,3770000.0,1930,3888
13,Sonic Drive-In,699000.0,3370000.0,1950,3546
14,Arby's,645000.0,2450000.0,1964,3415
15,Papa John's,102000.0,975000.0,1984,3180
16,Popeyes Louisiana Kitchen,110000.0,3700000.0,1972,2946
17,Noble Roman's Craft Pizza & Pub,32000.0,228000.0,1972,2820
18,Jimmy John's,356000.0,674000.0,1983,2637
19,Chick Fil A (Franchise Program),518000.0,2800000.0,1946,2410
20,Jersey Mike's,214000.0,1350000.0,1986,2387
21,Panda Express,480000.0,3220000.0,1990,2352
22,Jack In The Box,1770000.0,2760000.0,1951,2180
23,Hissho Sushi/Oumi Sushi/Sushi with Gusto,26000.0,129000.0,2002,2132
24,Panera Bread,1120000.0,3460000.0,1993,2094
25,DQ Grill & Chill,1510000.0,2530000.0,1962,1967
26,Hardee's,1300000.0,3440000.0,2013,1709
27,Wingstop,326000.0,975000.0,1994,1705
28,IHOP,701000.0,3970000.0,1958,1683
29,Applebee's,2009999.9999999998,11520000.0,2014,1644
30,Kona Ice,167000.0,212000.0,2008,1484
31,Five Guys,256000.0,591000.0,1986,1477
32,Denny's,305000.0,2330000.0,1987,1445
33,Snowfox,5000.0,333000.0,2013,1374
34,Pizza Hut Non-Traditional,41000.0,485000.0,1958,1283
